date,portfolio_value_inr
2024-05-06,4820000000.0
2024-05-07,4814415925.3
2024-05-08,4796535590.76
2024-05-09,4767996771.04
2024-05-10,4761885160.13
2024-05-13,4782041829.1
2024-05-14,4782372788.25
2024-05-15,4763865222.08
2024-05-16,4806534120.89
2024-05-17,4797682482.58
2024-05-21,4783807942.68
2024-05-22,4801200234.12
2024-05-23,4857373366.46
2024-05-24,4858283726.91
2024-05-27,4861164579.09
2024-05-28,4854762154.97
2024-05-29,4812758352.89
2024-05-30,4793402877.1
2024-05-31,4801949798.51
2024-06-03,4874745466.12
2024-06-04,4741925429.25
2024-06-05,4828593142.99
2024-06-06,4872026364.83
2024-06-07,4939301463.98
2024-06-10,4911100857.17
2024-06-11,4902498972.44
2024-06-12,4902469772.65
2024-06-13,4913724806.0
2024-06-14,4917414393.55
2024-06-18,4933984898.87
2024-06-19,4968170300.9
2024-06-20,4985138762.26
2024-06-21,4988964189.32
2024-06-24,4990815344.58
2024-06-25,5040016555.13
2024-06-26,5066162380.82
2024-06-27,5098322569.61
2024-06-28,5087952306.07
2024-07-01,5126834007.67
2024-07-02,5156413294.35
2024-07-03,5173582629.37
2024-07-04,5182611848.24
2024-07-05,5146277993.97
2024-07-08,5148350229.89
2024-07-09,5146889236.26
2024-07-10,5120462174.02
2024-07-11,5119292253.74
2024-07-12,5193025796.7
2024-07-15,5187064269.28
2024-07-16,5192971844.63
2024-07-18,5235113787.51
2024-07-19,5235729270.97
2024-07-22,5240148972.67
2024-07-23,5231162367.2
2024-07-24,5223260431.63
2024-07-25,5217326585.94
2024-07-26,5265375494.29
2024-07-29,5258976444.01
2024-07-30,5261937290.46
2024-07-31,5259917580.74
2024-08-01,5268964210.12
2024-08-02,5236309306.5
2024-08-05,5127764376.4
2024-08-06,5122254041.7
2024-08-07,5165726270.96
2024-08-08,5139237650.58
2024-08-09,5178184430.5
2024-08-12,5191870947.99
2024-08-13,5158191476.84
2024-08-14,5185638494.46
2024-08-16,5252565696.14
2024-08-19,5267566563.14
2024-08-20,5284185268.9
2024-08-21,5280962750.74
2024-08-22,5286721116.45
2024-08-23,5273679709.57
2024-08-26,5303939708.5
2024-08-27,5314716581.33
2024-08-28,5333675016.55
2024-08-29,5340032868.99
2024-08-30,5349471057.27
2024-09-02,5351947767.42
2024-09-03,5349363695.31
2024-09-04,5334852104.17
2024-09-05,5333805039.51
2024-09-06,5288605021.89
2024-09-09,5299263920.59
2024-09-10,5319934301.1
2024-09-11,5306659780.54
2024-09-12,5362908711.88
2024-09-13,5356700810.36
2024-09-16,5365824830.67
2024-09-17,5367017240.63
2024-09-18,5332055700.83
2024-09-19,5337208566.96
2024-09-20,5384938998.97
2024-09-23,5384727603.47
2024-09-24,5388275229.62
2024-09-25,5397358752.7
2024-09-26,5408662570.94
2024-09-27,5397878841.3
2024-09-30,5332277959.84
2024-10-01,5342629463.21
2024-10-03,5274366028.4
2024-10-04,5261524663.81
2024-10-07,5241436715.72
2024-10-08,5275958426.19
2024-10-09,5262226702.87
2024-10-10,5256736705.73
2024-10-11,5238515992.35
2024-10-14,5273973972.24
2024-10-15,5267791937.87
2024-10-16,5252531404.22
2024-10-17,5259562059.34
2024-10-18,5237780046.61
2024-10-21,5246390806.49
2024-10-22,5221554160.55
2024-10-23,5244665459.44
2024-10-24,5245779427.27
2024-10-25,5239626551.0
2024-10-28,5258323551.99
2024-10-29,5281281722.26
2024-10-30,5247158239.54
2024-10-31,5194734663.59
2024-11-01,5202173658.05
2024-11-04,5167741283.9
2024-11-05,5198481414.8
2024-11-06,5267974196.44
2024-11-07,5237352411.83
2024-11-08,5239186847.86
2024-11-11,5269574173.58
2024-11-12,5246833421.95
2024-11-13,5203002455.45
2024-11-14,5214022788.29
2024-11-18,5170756892.86
2024-11-19,5193576181.87
2024-11-21,5196541637.42
2024-11-22,5286918407.74
2024-11-25,5331710121.26
2024-11-26,5359890473.37
2024-11-27,5369993881.88
2024-11-28,5296653525.72
2024-11-29,5316289090.18
2024-12-02,5341531147.74
2024-12-03,5371145990.32
2024-12-04,5395097319.21
2024-12-05,5451524239.71
2024-12-06,5429568858.63
2024-12-09,5430884999.21
2024-12-10,5438999335.06
2024-12-11,5444799079.83
2024-12-12,5448413887.28
2024-12-13,5475024142.09
2024-12-16,5450947665.08
2024-12-17,5403866816.21
2024-12-18,5390077713.77
2024-12-19,5332266852.49
2024-12-20,5282887110.12
2024-12-23,5308984786.31
2024-12-24,5303062880.3
2024-12-26,5294091745.28
2024-12-27,5308336573.87
2024-12-30,5281064609.64
2024-12-31,5251558927.08
2025-01-01,5264254527.04
2025-01-02,5329322992.25
2025-01-03,5275162759.23
2025-01-06,5238774514.33
2025-01-07,5241120468.9
2025-01-08,5246293573.24
2025-01-09,5207556212.74
2025-01-10,5251529025.51
2025-01-13,5229095810.55
2025-01-14,5221857215.92
2025-01-15,5231369476.57
2025-01-16,5228700776.02
2025-01-17,5164685922.52
2025-01-20,5168935892.41
2025-01-21,5124417681.14
2025-01-22,5188590680.69
2025-01-23,5186364302.6
2025-01-24,5180333610.31
2025-01-27,5128902631.52
2025-01-28,5162125870.36
2025-01-29,5204126052.89
2025-01-30,5209571262.67
2025-01-31,5229223091.71
2025-02-01,5204879502.66
2025-02-03,5194843898.36
2025-02-04,5264599951.03
2025-02-05,5268311592.46
2025-02-06,5283184676.6
2025-02-07,5250593371.58
2025-02-10,5227342849.04
2025-02-11,5194295834.76
2025-02-12,5181841036.7
2025-02-13,5158770271.88
2025-02-14,5172584135.89
2025-02-17,5173013239.24
2025-02-18,5173365896.85
2025-02-19,5148979125.11
2025-02-20,5129562432.9
2025-02-21,5119979690.26
2025-02-24,5056864391.01
2025-02-25,5053029636.44
2025-02-27,5059816695.94
2025-02-28,5009021417.77
2025-03-03,4993467786.34
2025-03-04,4992308073.45
2025-03-05,5002012425.45
2025-03-06,5026891683.8
2025-03-07,5025343880.89
2025-03-10,5024808243.82
2025-03-11,5016429945.67
2025-03-12,4987382479.12
2025-03-13,4978907365.29
2025-03-17,4988499336.56
2025-03-18,4988499336.56
2025-03-19,5026927099.32
2025-03-20,5078005383.98
2025-03-21,5080659886.55
2025-03-24,5121476900.45
2025-03-25,5144905135.16
2025-03-26,5110244927.38
2025-03-27,5127919639.6
2025-03-28,5109221814.45
2025-04-01,5022520822.44
2025-04-02,5055111295.27
2025-04-03,5002890318.23
2025-04-04,4962943702.3
2025-04-07,4862657949.77
