date,portfolio_value
2023-01-01,102653.45771006712
2023-01-02,103033.33025144791
2023-01-03,104854.59563994737
2023-01-04,102480.15886983955
2023-01-05,103211.74772013446
2023-01-06,103617.72223302674
2023-01-07,104155.18070144423
2023-01-08,104952.65266645595
2023-01-09,104842.9512017795
2023-01-10,106948.31143277259
2023-01-11,109578.12183228022
2023-01-12,109736.19965760683
2023-01-13,110142.68045305897
2023-01-14,110328.92520682488
2023-01-15,111537.06623639361
2023-01-16,113595.12908235914
2023-01-17,114936.58413237038
2023-01-18,117916.08530748617
2023-01-19,118890.94116792438
2023-01-20,118574.94610466746
2023-01-21,118540.91115169498
2023-01-22,119420.23768540466
2023-01-23,118708.28671940499
2023-01-24,121162.11668365175
2023-01-25,121909.70858939512
2023-01-26,120777.23654022157
2023-01-27,119207.78968403634
2023-01-28,119858.24117319686
2023-01-29,119133.6942050825
2023-01-30,118137.84084404852
2023-01-31,119783.2359713293
2023-02-01,118300.75914461877
2023-02-02,116696.41914502523
2023-02-03,117159.15781409416
2023-02-04,115484.82649413514
2023-02-05,113642.8454577691
2023-02-06,111136.87205151306
2023-02-07,109829.02985809062
2023-02-08,111383.68568688071
2023-02-09,110089.12710470424
2023-02-10,108872.66007785508
2023-02-11,108130.17235773598
2023-02-12,109663.08344053364
2023-02-13,107723.68652841107
2023-02-14,108690.48534737964
2023-02-15,105597.94419641877
2023-02-16,104914.51081618707
2023-02-17,106404.16237200354
2023-02-18,105497.90658255802
2023-02-19,105955.11135947335
2023-02-20,105983.95790954202
2023-02-21,105881.60433981764
2023-02-22,104554.11181490443
2023-02-23,105139.1080454887
2023-02-24,104985.67802750223
2023-02-25,107858.79941156262
2023-02-26,108359.45534025089
2023-02-27,108020.49629550152
2023-02-28,107196.10667043181
2023-03-01,107613.57192826355
2023-03-02,106343.43006844765
2023-03-03,106907.17922009977
2023-03-04,108499.1245592543
2023-03-05,109088.86534545699
2023-03-06,109188.97465596105
2023-03-07,107911.11247025717
2023-03-08,108216.12789583384
2023-03-09,107423.10743099153
2023-03-10,105284.28426731547
2023-03-11,106891.24722776639
2023-03-12,107224.57023611864
2023-03-13,109236.432526864
2023-03-14,109088.25002044962
2023-03-15,109576.58067309261
2023-03-16,107361.13076138556
2023-03-17,105672.31356313062
2023-03-18,105529.97912691649
2023-03-19,106098.80462869092
2023-03-20,107014.98944111099
2023-03-21,106248.62272010623
2023-03-22,105780.65911260605
2023-03-23,106820.21926296948
2023-03-24,105471.96683350216
2023-03-25,104974.70780534246
2023-03-26,103798.98884232888
2023-03-27,103022.46738344371
2023-03-28,103061.61356093493
2023-03-29,102192.34177454903
2023-03-30,103515.0724135484
2023-03-31,101573.1212153417
2023-04-01,102377.91229319107
2023-04-02,101365.50897348237
2023-04-03,101093.11770027793
2023-04-04,100805.30729849897
2023-04-05,99272.6366894437
2023-04-06,101489.98213762863
2023-04-07,101694.9378086625
2023-04-08,102939.21216724535
2023-04-09,102433.35240429913
2023-04-10,103280.10009338603
2023-04-11,104062.38419654303
2023-04-12,102993.66450416757
2023-04-13,106971.68282708249
2023-04-14,107933.95768803886
2023-04-15,107026.23460458148
2023-04-16,108093.67934083252
2023-04-17,107337.17776599702
2023-04-18,107218.77972742925
2023-04-19,106479.80517298514
2023-04-20,105016.12876801673
2023-04-21,105583.47563113783
2023-04-22,104801.58985219616
2023-04-23,103445.45934303202
2023-04-24,103574.46287897287
2023-04-25,105381.02672986026
2023-04-26,103651.36154741565
2023-04-27,104806.51243080621
2023-04-28,103305.3151359783
2023-04-29,105653.20543246157
2023-04-30,104837.52517481147
2023-05-01,103089.80760898547
2023-05-02,103739.88054046457
2023-05-03,101717.1225982252
2023-05-04,102278.18746124502
2023-05-05,102564.60862483238
2023-05-06,101150.99817654463
2023-05-07,101500.81080201059
2023-05-08,102239.1271328571
2023-05-09,103959.40427468286
2023-05-10,104110.4766640788
2023-05-11,105039.16786753897
2023-05-12,105094.99673483576
2023-05-13,105608.38515321254
2023-05-14,106402.13462234502
2023-05-15,107120.79854643013
2023-05-16,105696.1433235677
2023-05-17,106202.33183002927
2023-05-18,108339.81349297977
2023-05-19,108676.36716087075
2023-05-20,107673.61417974539
2023-05-21,107753.9639625223
2023-05-22,109669.43982307045
2023-05-23,108248.79413210462
2023-05-24,108346.0033666503
2023-05-25,110173.68940796131
2023-05-26,108652.27280867839
2023-05-27,106441.35899820706
2023-05-28,105889.81871097612
2023-05-29,106921.84923607504
2023-05-30,108264.91393589221
2023-05-31,107233.99888851857
2023-06-01,106536.05110382709
2023-06-02,109650.61271077365
2023-06-03,110573.79125886227
2023-06-04,110144.52484408279
2023-06-05,109956.330740219
2023-06-06,111335.23530241151
2023-06-07,111082.03615558315
2023-06-08,110773.19745380772
2023-06-09,111630.88673208424
2023-06-10,111172.95097210722
2023-06-11,109788.68839831515
2023-06-12,108876.22593726365
2023-06-13,108793.52836661112
2023-06-14,110394.5966154902
2023-06-15,110790.8372521008
2023-06-16,109773.96120084671
2023-06-17,110504.93649819701
2023-06-18,112202.05187249678
2023-06-19,110928.78622571421
2023-06-20,112332.5564235319
2023-06-21,113158.03311435966
2023-06-22,113632.72261345641
2023-06-23,114985.45923381462
2023-06-24,114408.13536253036
2023-06-25,117627.28475007754
2023-06-26,116039.36238218729
2023-06-27,115037.82487068062
2023-06-28,113562.07221927453
2023-06-29,111267.18910328978
2023-06-30,112223.67237675418
2023-07-01,110460.91929688862
2023-07-02,110713.65885108472
2023-07-03,109166.36142438186
2023-07-04,109077.78707680038
2023-07-05,110176.19589697936
2023-07-06,112198.41024635226
2023-07-07,112595.97799286294
2023-07-08,109630.88912586587
2023-07-09,110947.47805553424
2023-07-10,110500.78882763653
2023-07-11,110177.39758624465
2023-07-12,108508.6410882538
2023-07-13,107662.94197018203
2023-07-14,107976.20042473832
2023-07-15,107460.65519342589
2023-07-16,106627.640544167
2023-07-17,107646.69244344142
2023-07-18,107548.40265081458
2023-07-19,107224.30330399706
2023-07-20,106266.51174042314
2023-07-21,109194.7546436127
2023-07-22,107582.01659474247
2023-07-23,109748.97072498835
2023-07-24,109059.31752884388
2023-07-25,108561.61253326731
2023-07-26,110459.01071365907
2023-07-27,112967.33449415649
2023-07-28,112768.51509448825
2023-07-29,113515.05135900408
2023-07-30,114560.12083786097
2023-07-31,115494.15384443408
2023-08-01,116323.7514328199
2023-08-02,116150.48477168723
2023-08-03,117747.46706579837
2023-08-04,118673.64073900283
2023-08-05,121251.82396641331
2023-08-06,121448.29231338114
2023-08-07,119169.80173854686
2023-08-08,119518.14877463858
2023-08-09,119395.13703783971
2023-08-10,119697.87025807817
2023-08-11,117905.62848831517
2023-08-12,116552.83286089655
2023-08-13,117472.81407649259
2023-08-14,117568.40694357081
2023-08-15,115953.49145948299
2023-08-16,118289.0885117859
2023-08-17,117853.52185089106
2023-08-18,117239.47775864923
2023-08-19,117269.26503759327
2023-08-20,112886.41079281767
2023-08-21,111771.34812188272
2023-08-22,113099.1538670391
2023-08-23,113558.71817087028
2023-08-24,113424.63561883754
2023-08-25,114139.30580270628
2023-08-26,115814.24815109977
2023-08-27,118954.93451517698
2023-08-28,119387.60030326134
2023-08-29,119273.15039901058
2023-08-30,118854.09745959307
2023-08-31,118009.83804696966
2023-09-01,119568.88348768464
2023-09-02,119375.75364488628
2023-09-03,118812.83377313166
2023-09-04,118592.84293240447
2023-09-05,118946.12404729854
2023-09-06,118064.49129323811
2023-09-07,116463.53193032923
2023-09-08,117578.52504767517
2023-09-09,118356.94515255062
2023-09-10,118940.24613352887
2023-09-11,120287.2789311642
2023-09-12,119487.2991256378
2023-09-13,119815.32786981013
2023-09-14,121161.016295415
2023-09-15,121123.89784031597
2023-09-16,119339.98866645401
2023-09-17,120696.19059443143
2023-09-18,120691.39482332785
2023-09-19,120340.28833114156
2023-09-20,120353.26153396255
2023-09-21,122378.32912276842
2023-09-22,123383.87372266484
2023-09-23,123177.61752504688
2023-09-24,121013.89181706037
2023-09-25,120323.42352724937
2023-09-26,121885.06698018586
2023-09-27,123869.11976438995
2023-09-28,123284.78877356261
2023-09-29,127008.8913743051
2023-09-30,126729.93265455868
2023-10-01,125787.83499918331
2023-10-02,126772.88526428177
2023-10-03,126650.24180635433
2023-10-04,126454.0394876754
2023-10-05,127942.76325795901
2023-10-06,129261.59396822796
2023-10-07,129790.1718403549
2023-10-08,129700.2503969085
2023-10-09,130111.12522499899
2023-10-10,132720.5838668774
2023-10-11,133964.80843022693
2023-10-12,131961.55592287023
2023-10-13,132787.6693013547
2023-10-14,131510.88500565625
2023-10-15,134130.73831302626
2023-10-16,133016.64511960515
2023-10-17,133719.0542056879
2023-10-18,134343.10160048044
2023-10-19,135802.0655349561
2023-10-20,140204.99976070676
2023-10-21,138899.98888599564
