ds,yhat,yhat_lower,yhat_upper,is_forecast
2024-05-06,4743931883.007314,4663701014.205143,4827555570.450199,False
2024-05-07,4748486075.775092,4662872786.545031,4841229025.893148,False
2024-05-08,4760497769.029718,4670332210.413438,4852158686.443514,False
2024-05-09,4767071783.751922,4687348441.898444,4852125771.400261,False
2024-05-10,4767110756.134876,4679721473.287044,4857898181.103854,False
2024-05-13,4781921908.423625,4696138577.8981695,4867336161.449718,False
2024-05-14,4784618651.344978,4697960685.462498,4867199037.806936,False
2024-05-15,4794897535.948106,4712190068.380501,4876653830.951837,False
2024-05-16,4799866771.0285845,4717426593.985199,4886925731.055977,False
2024-05-17,4798429579.358167,4713748222.734778,4883337128.098267,False
2024-05-21,4811266458.940709,4721783480.339383,4901771938.84338,False
2024-05-22,4820665867.61648,4735393581.437197,4904946341.186611,False
2024-05-23,4824863628.338383,4741210992.511118,4913924540.586963,False
2024-05-24,4822761258.410246,4742093942.803326,4907112608.859094,False
2024-05-27,4832546134.766039,4750850872.260369,4918067972.2585535,False
2024-05-28,4834035196.2680235,4750896343.085518,4922836557.111565,False
2024-05-29,4843346397.392767,4760978170.005942,4934113921.136917,False
2024-05-30,4848294042.052456,4758215905.663872,4944670188.182919,False
2024-05-31,4847093704.182154,4762338813.597975,4939323017.401442,False
2024-06-03,4860633717.329515,4772607972.418564,4943750497.289222,False
2024-06-04,4863769042.132301,4783764909.08281,4944974064.628059,False
2024-06-05,4874943421.374467,4790326207.284166,4955611946.287305,False
2024-06-06,4881281310.252859,4801457761.3324175,4960667620.295492,False
2024-06-07,4881701911.186991,4794135308.273026,4962125117.564226,False
2024-06-10,4901479193.94882,4810900090.422419,4984686591.654262,False
2024-06-11,4907123937.286663,4826625866.945949,4987264767.707697,False
2024-06-12,4920995382.56168,4835963761.534487,5012065635.63761,False
2024-06-13,4930192932.68894,4848406068.906759,5013455110.775856,False
2024-06-14,4933605094.768288,4843208924.683047,5022528543.953456,False
2024-06-18,4971520653.169166,4877691406.717934,5047935884.542192,False
2024-06-19,4988413331.531777,4907388541.750278,5073718679.147946,False
2024-06-20,5000487860.440644,4914413612.337118,5087812541.755056,False
2024-06-21,5006578966.358848,4925851610.377424,5101233697.533808,False
2024-06-24,5042077896.415316,4951431486.709162,5127211046.071691,False
2024-06-25,5052218871.551519,4964357595.419769,5132015031.927249,False
2024-06-26,5070062026.633964,4985139866.366902,5155468730.418519,False
2024-06-27,5082621176.562612,5003492634.005692,5172037933.959819,False
2024-06-28,5088705939.094921,4999857478.453936,5171551133.79612,False
2024-07-01,5121099026.887774,5039479488.429013,5204261965.804935,False
2024-07-02,5129181346.846466,5048096573.489148,5213229942.532876,False
2024-07-03,5144477384.631477,5065330690.892056,5230727187.350751,False
2024-07-04,5154028198.890756,5066142172.170048,5238438508.074292,False
2024-07-05,5156678969.6433115,5071883348.1325865,5246018793.294882,False
2024-07-08,5176681357.293562,5088906906.605377,5268337148.4678955,False
2024-07-09,5180122153.919372,5096843680.021223,5259749788.106589,False
2024-07-10,5190624467.096634,5107027739.686562,5274069723.824054,False
2024-07-11,5195295333.923499,5109767114.266145,5279511733.845542,False
2024-07-12,5193046629.966481,5110383153.119258,5280509733.671027,False
2024-07-15,5198882583.150131,5108010162.143782,5280720718.392775,False
2024-07-16,5197979955.438449,5113165090.966206,5281534519.288739,False
2024-07-18,5205346041.446836,5118187124.758164,5290920383.5963545,False
2024-07-19,5199715314.502468,5113078398.531702,5287239428.596728,False
2024-07-22,5197821287.977287,5109845899.892978,5286552643.092845,False
2024-07-23,5195192110.000589,5107129087.205091,5283480421.404761,False
2024-07-24,5200330376.351015,5105692531.504203,5281790184.632831,False
2024-07-25,5200377699.304705,5118200592.922831,5283548598.05413,False
2024-07-26,5194266677.203912,5112112443.988471,5284374391.985793,False
2024-07-29,5193089759.886493,5114544227.949633,5281384361.201836,False
2024-07-30,5191314927.421377,5109695768.118026,5280208852.107926,False
2024-07-31,5197556299.284152,5110804230.5650015,5287832007.915759,False
2024-08-01,5198918290.767246,5121145700.126425,5284597665.073006,False
2024-08-02,5194296543.717652,5100382813.991785,5283530281.755106,False
2024-08-05,5198289034.170774,5111317201.927311,5286977368.097022,False
2024-08-06,5198369302.949992,5111522288.916861,5284436405.617798,False
2024-08-07,5206489712.635166,5122200232.417641,5293687714.61536,False
2024-08-08,5209735660.087707,5121014805.324432,5294770220.372296,False
2024-08-09,5206988169.467249,5124956154.782214,5302607442.485931,False
2024-08-12,5216463077.791878,5129286376.336044,5299678664.313154,False
2024-08-13,5218315845.40618,5131906612.613868,5295653579.157671,False
2024-08-14,5228185048.00119,5145829654.418099,5305870427.610716,False
2024-08-16,5232133750.05372,5149017262.6207485,5320174819.863169,False
2024-08-19,5246769449.256524,5157829132.505959,5332932519.385597,False
2024-08-20,5250361239.503259,5163304994.743051,5336020860.606197,False
2024-08-21,5261982740.141968,5175997759.345202,5346320061.954139,False
2024-08-22,5268722994.234664,5183773283.43926,5359021798.599596,False
2024-08-23,5269464360.408255,5186540708.559804,5352201489.799842,False
2024-08-26,5289330631.088796,5204655672.249913,5378484689.632859,False
2024-08-27,5294583933.74241,5204850562.015548,5380967468.688895,False
2024-08-28,5307789275.703075,5221464629.212587,5387043723.304991,False
2024-08-29,5316009526.816453,5233266433.098339,5405349021.202928,False
2024-08-30,5314282472.675535,5224185353.501033,5397650746.844534,False
2024-09-02,5325661906.293949,5237638905.727604,5407799049.274069,False
2024-09-03,5327632364.243413,5245891306.016345,5413703310.886726,False
2024-09-04,5337286460.282698,5256311108.601977,5418991461.254521,False
2024-09-05,5341667447.063264,5257139716.869675,5419959036.393382,False
2024-09-06,5339614854.749759,5249547033.907496,5424286546.654275,False
2024-09-09,5348141572.151287,5257507225.172294,5430471055.960631,False
2024-09-10,5348549695.100964,5262505341.306024,5434830772.154934,False
2024-09-11,5356360789.277966,5265411335.437203,5435998228.360061,False
2024-09-12,5358644174.410001,5271817986.413589,5438909228.352552,False
2024-09-13,5354272540.010928,5274407047.398056,5440713942.144357,False
2024-09-16,5354940011.983196,5271046102.687407,5441205452.904062,False
2024-09-17,5352595814.065588,5270905293.856106,5437136384.072808,False
2024-09-18,5357681679.326615,5280829844.162652,5452369845.274243,False
2024-09-19,5357325933.144524,5272389696.755286,5443544345.542223,False
2024-09-20,5350460320.970428,5265191925.329915,5431028036.28105,False
2024-09-23,5331938187.194345,5243445208.347013,5419886154.49574,False
2024-09-24,5323841395.133313,5237047746.708689,5407363640.232307,False
2024-09-25,5323565232.435009,5230838867.960054,5416995278.344477,False
2024-09-26,5318267791.851387,5235396468.85364,5410434690.496224,False
2024-09-27,5306901621.240578,5223762614.113236,5400378818.326578,False
2024-09-30,5290724189.245484,5206170919.876282,5369159992.889752,False
2024-10-01,5284280175.594693,5199935252.909154,5372152930.704413,False
2024-10-03,5283156659.113224,5204352289.63287,5363222901.2210655,False
2024-10-04,5274501080.069253,5192011547.352235,5355963826.397143,False
2024-10-07,5267721428.771986,5178189454.44252,5348462711.186313,False
2024-10-08,5264613355.896052,5184628464.322152,5350594811.180829,False
2024-10-09,5269705877.430961,5186204750.322035,5358315930.972366,False
2024-10-10,5270047740.185277,5181349205.608257,5358733913.488402,False
2024-10-11,5264475717.738741,5180202595.310298,5343460975.045617,False
2024-10-14,5265415770.512274,5183050488.788847,5352418107.432935,False
2024-10-15,5264200010.22556,5179340539.849469,5351785000.241797,False
2024-10-16,5270780738.15275,5184683923.926035,5357365229.300881,False
2024-10-17,5272183780.061031,5188946616.878002,5362318699.007063,False
2024-10-18,5267234215.128686,5179850414.652059,5355664533.550917,False
2024-10-21,5267466607.159374,5180276062.141922,5348449696.0494995,False
2024-10-22,5265232953.951048,5180724907.677798,5348368378.822574,False
2024-10-23,5270469771.650225,5185063718.26985,5356265222.713095,False
2024-10-24,5270256097.419755,5185389693.870572,5360572131.154882,False
2024-10-25,5263477980.8790245,5175119601.164601,5353870746.754676,False
2024-10-28,5257646801.004994,5168983297.480178,5340468564.49732,False
2024-10-29,5253445815.192952,5170439395.60258,5335757396.861295,False
2024-10-30,5256866650.913391,5171872582.660503,5347157028.638097,False
2024-10-31,5255059704.694524,5168203896.265756,5337269512.498467,False
2024-11-01,5246977601.919559,5157111073.908139,5332274736.617266,False
2024-11-04,5239529417.123798,5157916949.059579,5327327024.617044,False
2024-11-05,5235695441.834571,5154555936.797767,5317800294.162737,False
2024-11-06,5239980243.941625,5152186765.336106,5325927189.295044,False
2024-11-07,5239543078.438567,5153075767.813651,5326527438.3440695,False
2024-11-08,5233333220.414104,5148844397.602228,5313725497.595445,False
2024-11-11,5234303087.736361,5150917448.656456,5320059465.636724,False
2024-11-12,5234081433.300232,5148568452.06965,5314281784.417231,False
2024-11-13,5242292945.913562,5165752028.7966,5332800659.253503,False
2024-11-14,5246031154.418105,5159901344.006543,5327442177.417452,False
